sample_no,lab_acession_no,band_no,collection_date,period,age,sex,grid,cap_loc,net_setup,net_no,t_cap,t_release,cap_meth,wing_mm,tail_mm,mass_g,fat,pect,cp,bp,body_molt,wing_molt,photos,nest_day,nest_no,nest_status,field_remarks,dna_ext_date,f_mass_g,f_extractor,ext_remarks,,
51-02,06-0091,3171-08839,7/19/2023,3,asy,f,bor,feederbor-1,na,na,7:00:00 AM,7:35:00 AM,feeder,70,54,15.38,0,0,no,yes,yes,no,yes,na,na,na,tail molt,1/12/2024,0.0919,HD,twist top tube,,
52-03,06-0095,3171-08844,7/20/2023,3,hy,u,bg,net23-11-3,11,3,6:59:00 AM,7:34:00 AM,passive,65,53,13.57,0,0,na,na,na,na,yes,na,na,na,na,1/12/2024,0.1153,HD,twist top tube,,
52-04,06-0096,2881-08411,7/20/2023,3,sy,f,bg,net23-11-4,11,4,8:25:00 AM,8:47:00 AM,passive,67,55,15.71,0,1,no,yes,yes,na,yes,na,na,na,"MAPS bird, molt on tail R5,4,3,2 and coverts",1/12/2024,0.2484,HD,twist top tube,,
52-05,06-0097,3171-08806,7/20/2023,3,sy,m,bg,net23-11-4,11,4,8:31:00 AM,8:51:00 AM,passive,67,53,16.5,1.5,0,yes,no,na,na,yes,na,na,na,na,1/12/2024,0.1222,HD,twist top tube,,
52-06,06-0098,2881-08421,7/20/2023,3,asy,f,bg,net23-11-4,11,4,9:10:00 AM,9:37:00 AM,passive,68,54,16.37,0,0,no,yes,na,na,yes,na,na,na,na,1/12/2024,0.1205,HD,twist top tube,,
53-01,06-0099,2811-93075,7/21/2023,3,asy,f,bg,net23-11-2,11,2,6:49:00 AM,7:14:00 AM,passive,63,51,14.92,2,1,no,yes,na,na,yes,na,na,na,na,1/19/2024,0.023,HD,twist top tube,,
53-06,06-0104,2511-33551,7/21/2023,3,asy,f,bg,net23-11-10,11,10,8:39:00 AM,na,passive,65,50,14.45,0,0,no,yes,na,na,yes,na,na,na,na,1/19/2024,0.2827,HD,twist top tube,,
54-01,06-0105,2811-92955,7/24/2023,3,asy,m,bg,net23-11-5,11,5,6:45:00 AM,7:02:00 AM,passive,74,59,17.72,1,1,na,na,na,na,yes,na,na,na,"captured with a hatch year (unbanded), resealed bands, Blood sample 80, possibly father of 3171-08848",1/19/2024,0.0713,HD,twist top tube,,
54-02,06-0106,3171-08848,7/24/2023,3,hy,u,bg,net23-11-5,11,5,6:45:00 AM,7:07:00 AM,passive,62,51,16.13,0,1,na,na,na,na,yes,na,na,na,Possible hatch year of 2811-92955,1/19/2024,0.0303,HD,twist top tube,,
54-04,06-0108,3171-08850,7/24/2023,3,hy,u,bg,net23-11-4,11,4,6:39:00 AM,7:17:00 AM,passive,68,53,13.45,0,0,na,na,na,na,yes,na,na,na,na,1/19/2024,0.0408,HD,twist top tube,,
55-01,06-0109,na,7/25/2023,3,na,na,bg,nest,na,na,6:55:00 AM,7:09:00 AM,nest,na,na,na,na,na,na,na,na,na,na,7,85,unknown,2 nestlings,1/19/2024,0.5944,HD,twist top tube,,
56-02,06-0111,3171-08802,7/26/2023,3,sy,m,bg,feederbg-1,na,na,6:40:00 AM,7:06:00 AM,feeder,71,55,20.14,2,1,yes,no,na,na,yes,na,na,na,na,1/19/2024,0.1011,HD,twist top tube,,
56-03,06-0112,3171-08856,7/26/2023,3,hy,u,bg,net23-12-3,12,3,6:38:00 AM,na,passive,61,51,13.38,0,1,na,na,na,yes,yes,na,na,na,molt on secondary on right wing,1/19/2024,0.0682,HD,twist top tube,,
